institution,country,datasource,nPapers,nAuth,standardized name
"ETH Zurich Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,Both,45,47,ETH Zurich - ETHZ
"Paul Scherrer Inst, Lab Neutron Scattering & Imaging, CH-5232 Villigen, Switzerland",Switzerland,Both,45,24,Paul Scherrer Institute - PSI
"Department of Computational Biology, University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,41,5,University of Lausanne - LA
"SIB Swiss Institute of Bioinformatics, Lausanne, Switzerland",Switzerland,Scopus,41,7,Swiss Institute of Bioinformatics - SIB
"University Hospital Zurich, Zurich, Switzerland",Switzerland,Scopus,41,9,University Hospital Zurich - UHZ!
"WHO, Geneva, Switzerland",Switzerland,WoS,41,64,"WHO, Geneva, Switzerland"
"Department of Computer Science, ETH Zurich, Zurich, Switzerland",Switzerland,Scopus,40,5,ETH Zurich - ETHZ
"Ecole Polytechnique Federale de Lausanne (EPFL), Lausanne, CH-1015, Switzerland",Switzerland,Scopus,40,20,EPF Lausanne - EPFL
"Swiss Trop & Publ Hlth Inst, Dept Epidemiol & Publ Hlth, Basel, Switzerland",Switzerland,Both,40,37,Swiss Trop & Publ Hlth Inst - STPH!
"Univ Geneva, Dept Phys Theor, 24 Quai E Ansermet, CH-1211 Geneva 4, Switzerland",Switzerland,Both,40,3,University of Geneva - GE
"Department of Radiology and Nuclear Medicine, Luzerner Kantonsspital, Lucerne, Switzerland",Switzerland,Scopus,39,2,Luzerner Kantonsspital - LUKS
"Univ Geneva, Dept Phys Theor, CH-1211 Geneva 4, Switzerland",Switzerland,Both,39,5,University of Geneva - GE
"Department of Biology, ETH Zurich, Zürich, Switzerland",Switzerland,Scopus,38,5,ETH Zurich - ETHZ
"Imperial College, London, United Kingdom, CERN, European Organization for Nuclear Research, Geneva, Switzerland",Switzerland,Scopus,38,1,"CERN, European Organization for Nuclear Research, Geneva, Switzerland"
"Univ Basel, Dept Phys & Astron, Basel, Switzerland",Switzerland,Both,38,6,University of Basel - BS
"Univ Bern, Bern, Switzerland",Switzerland,Both,38,34,University of Berne - BE
"Clinical Bioinformatics, Swiss Institute of Bioinformatics, Geneva, Switzerland",Switzerland,Scopus,37,1,Swiss Institute of Bioinformatics - SIB
"Department of Medical Oncology, Inselspital, University Hospital and University of Bern, Bern, Switzerland",Switzerland,Scopus,37,4,University of Berne - BE
"Graduate School for Cellular and Biomedical Sciences, University of Bern, Bern, Switzerland",Switzerland,Scopus,37,2,University of Berne - BE
"Institute for Pathology and Molecular Pathology, University Hospital Zurich, Zurich, Switzerland",Switzerland,Scopus,37,1,University Hospital Zurich - ZH
"Institute of Molecular Life Sciences and Swiss Institute of Bioinformatics, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,37,2,Swiss Institute of Bioinformatics - SIB
"Institute of Molecular Life Sciences, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,37,2,University of Zurich - ZH
"Univ Geneva, CH-1211 Geneva 4, Switzerland",Switzerland,Both,37,30,University of Geneva - GE
"Bern Center for Precision Medicine, University Hospital of Bern, University of Bern, Bern, Switzerland",Switzerland,Scopus,36,1,University of Berne - BE
"Department of Genetic Medicine and Development, University of Geneva Medical School, CH, Geneva, Switzerland",Switzerland,Scopus,36,1,University of Geneva - GE
"Swiss Institute of Bioinformatics, University of Geneva, CH, Geneva, Switzerland",Switzerland,Scopus,36,1,Swiss Institute of Bioinformatics - SIB
"Department for BioMedical Research, University of Bern, Bern, Switzerland",Switzerland,Scopus,35,4,University of Berne - BE
"WHO, Dept Maternal Newborn Child & Adolescent Hlth, Geneva, Switzerland",Switzerland,Both,35,22,"WHO, Dept Maternal Newborn Child & Adolescent Hlth, Geneva, Switzerland"
"Univ Zurich, Dept Geog, Zurich, Switzerland",Switzerland,Both,34,41,University of Zurich - ZH
"Universität Zürich, Zürich, Switzerland",Switzerland,Scopus,34,14,University of Zurich - ZH
"European Org Nucl Res, CERN, Geneva, Switzerland",Switzerland,WoS,33,404,"European Organization for Nuclear Research - CERN, Geneva, Switzerland"
"Univ Geneva, Dept Astron, Ch Ecogia 16, CH-1290 Versoix, Switzerland",Switzerland,Both,33,15,University of Geneva - GE
"Univ Geneva, Geneva, Switzerland",Switzerland,Both,32,33,University of Geneva - GE
"Another Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,31,21,"Another Institute or International Laboratory - CERN, Switzerland"
"University of Neuchâtel, Switzerland",Switzerland,Scopus,31,3,University of Neuchâtel - NE
"CERN, CH-1211 Geneva 23, Switzerland",Switzerland,WoS,30,180,European Organization for Nuclear Research - CERN
"EPFL, Switzerland",Switzerland,Scopus,30,57,EPF Lausanne - EPFL
"Int Nursing Review, Geneva, Switzerland",Switzerland,Both,30,3,University of Geneva - GE
"Paul Scherrer Inst, Lab Muon Spin Spect, CH-5232 Villigen, Switzerland",Switzerland,Both,30,20,Paul Scherrer Institute - PSI
"An Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,29,131,"An Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Switzerland

---"
"Ecole Polytech Fed Lausanne, SB ITP LPPC, CH-1015 Lausanne, Switzerland",Switzerland,Both,29,10,EPF Lausanne - EPFL
"Paul Scherrer Inst, Swiss Light Source, CH-5232 Villigen, Switzerland",Switzerland,Both,29,49,Paul Scherrer Institute - PSI
"ETH Zurich — Institute for Particle Physics and Astrophysics (IPA), Zurich, Switzerland",Switzerland,Scopus,28,61,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne, CH-1015 Lausanne, Switzerland",Switzerland,WoS,28,27,EPF Lausanne - EPFL
"FIND, Geneva, Switzerland",Switzerland,Both,28,38,Other Research Institutes - FINST
"Univ Geneva, Ctr Astroparticle Phys, 24 Quai Ernest Ansermet, CH-1211 Geneva, Switzerland",Switzerland,Both,27,10,University of Geneva - GE
"University of Basel, Basel, Switzerland",Switzerland,Scopus,27,39,University of Basel - BS
"ETH Zurich, Switzerland",Switzerland,Scopus,26,51,ETH Zurich - ETHZ
"Novartis Pharm AG, Basel, Switzerland",Switzerland,Both,26,49,Novartis Pharm AG - Companies/ Private Industry - FP
"Swiss Fed Inst Technol, Inst Particle Phys, Zurich, Switzerland",Switzerland,WoS,26,100,ETH Zurich - ETHZ
"Swiss Inst Bioinformat, Lausanne, Switzerland",Switzerland,Both,26,44,Swiss Institute of Bioinformatics - SIB
"Univ Basel, Dept Phys, CH-4056 Basel, Switzerland",Switzerland,Both,26,30,University of Basel - BS
"Institute of Molecular and Clinical Ophthalmology Basel, Basel, Switzerland",Switzerland,Scopus,25,1,Institute of Molecular and Clinical Ophthalmology Basel - IOB
"International Nursing Review, Geneva, Switzerland",Switzerland,Scopus,25,1,---
"Med Malaria Venture, Geneva, Switzerland",Switzerland,Both,25,32,Medicines for Malaria Venture - MMV!
"Rutherford Appleton Laboratory, Didcot, United Kingdom, An Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,25,1,Rutherford Appleton Laboratory - RAL
"Swiss Tropical and Public Health Institute, University of Basel, Basel, Switzerland",Switzerland,Scopus,25,5,University of Basel - BS
"Univ Basel, CH-4003 Basel, Switzerland",Switzerland,Both,25,39,University of Basel - BS
"Univ Geneva, Fac Med, Geneva, Switzerland",Switzerland,Both,25,23,University of Geneva - GE
"Assoc Improvement Mental Hlth Programs, Geneva, Switzerland",Switzerland,Both,24,23,---
"CERN, Div Theory, PH TH, CH-1211 Geneva 23, Switzerland",Switzerland,Both,24,11,CERN
"CERN, Theoret Phys Dept, CH-1211 Geneva 23, Switzerland",Switzerland,Both,24,22,"CERN, Theoretical Physics Department - CERN"
"ETH Zurich, Institute for Particle Physics and Astrophysics (IPA), Zurich, Switzerland",Switzerland,Scopus,24,75,ETH Zurich - ETHZ
"Univ Geneva, Dept Phys Theor, 24 Quai Ernest Ansermet, CH-1211 Geneva, Switzerland",Switzerland,Both,24,10,University of Geneva - GE
"Univ Zurich, Inst Phys, Zurich, Switzerland",Switzerland,Both,24,16,University of Zurich - ZH
"University of Zurich, Switzerland",Switzerland,Scopus,24,29,University of Zurich - ZH
"World Heart Federat, Geneva, Switzerland",Switzerland,Both,24,18,"World Heart Federation, Geneva, Switzerland"
"Drugs Neglected Dis Initiat, Geneva, Switzerland",Switzerland,Both,23,26,---
"Fdn Innovat New Diagnost, Geneva, Switzerland",Switzerland,Both,23,26,---
"Paul Scherrer Inst, Lab Neutron Scattering, CH-5232 Villigen, Switzerland",Switzerland,Both,23,7,Paul Scherrer Institute - PSI
"Univ Hosp Geneva, Geneva, Switzerland",Switzerland,Both,23,18,Ente Ospedaliero Cantonale - EOC
"Assoc Improvement Mental Hlth Programmes, Geneva, Switzerland",Switzerland,Both,22,2,---
"CERN, PH TH, Div Theory, CH-1211 Geneva 23, Switzerland",Switzerland,Both,22,2,CERN
"CERN, Switzerland",Switzerland,Scopus,22,253,"CERN - CERN, Switzerland"
"Idiap Research Institute, Martigny, Switzerland",Switzerland,Scopus,22,19,Idiap Research Institute - IDIAP
"ETH Zurich—Institute for Particle Physics and Astrophysics (IPA), Zurich, Switzerland",Switzerland,Scopus,21,55,ETH Zurich - ETHZ
"ETH, CH-8093 Zurich, Switzerland",Switzerland,Both,21,57,ETH Zurich - ETHZ
"Ist Ric Solari Locarno, CH-6605 Locarno, Switzerland",Switzerland,Both,21,6,Istituto Ricerche Solari Locarno - IRSOL
"Univ Neuchatel, Inst Phys, CH-2009 Neuchatel, Switzerland",Switzerland,Both,21,3,University of Neuchatel - NE
"Department for Biomedical Research, University of Bern, Bern, Switzerland",Switzerland,Scopus,20,4,University of Berne - BE
"Ecole Polytech Fed Lausanne, Lausanne, Switzerland",Switzerland,WoS,20,26,EPF Lausanne - EPFL
"Univ Zurich, Inst Organ Chem, CH-8057 Zurich, Switzerland",Switzerland,Both,20,3,University of Zurich - ZH
"WHO, Dept Mental Hlth & Subst Abuse, Geneva, Switzerland",Switzerland,Both,20,13,"WHO, Dept Mental Hlth & Subst Abuse, Geneva, Switzerland!"
"EPFL, Lausanne, Switzerland",Switzerland,Scopus,19,24,EPF Lausanne - EPFL
"Paul Scherrer Inst, Lab Atmospher Chem, CH-5232 Villigen, Switzerland",Switzerland,Both,19,36,Paul Scherrer Institute - PSI
"Swiss Fed Inst Technol, Zurich, Switzerland",Switzerland,WoS,19,31,ETH Zurich - ETHZ
"Univ Basel, Dept Phys, Klingelbergstr 82, CH-4056 Basel, Switzerland",Switzerland,Both,19,27,University of Basel - BS
"ETH Zurich-Institute for Particle Physics and Astrophysics (IPA), Zurich, Switzerland",Switzerland,Scopus,18,62,ETH Zurich - ETHZ
"Paul Scherrer Inst PSI, Villigen, Switzerland",Switzerland,Both,18,10,Paul Scherrer Institute - PSI
"Stop TB Partnership, Geneva, Switzerland",Switzerland,Both,18,12,"Stop TB Partnership, Geneva, Switzerland!"
"Univ Fribourg, Dept Phys, CH-1700 Fribourg, Switzerland",Switzerland,Both,18,24,University of Fribourg - FR
"Department of Physics, University of Basel, Basel, Switzerland",Switzerland,Scopus,17,5,University of Basel - BS
"Global Alliance Improved Nutr, Geneva, Switzerland",Switzerland,Both,17,14,"Global Alliance Improved Nutr, Geneva, Switzerland!"
"PSI, Villigen, Switzerland",Switzerland,Both,17,22,Paul Scherrer Institute - PSI
"Publ Hlth Consulting Grp, Lugano, Switzerland",Switzerland,Both,17,3,---
"Swiss Fed Inst Technol, Dept Environm Syst Sci, Zurich, Switzerland",Switzerland,Both,17,31,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Dept Phys, Wolfgang Pauli Str 16, CH-8093 Zurich, Switzerland",Switzerland,WoS,17,5,ETH Zurich - ETHZ
"University of Geneva, Geneva, Switzerland",Switzerland,Scopus,17,18,University of Geneva - GE
"WHO, Dept Control Neglected Trop Dis, Geneva, Switzerland",Switzerland,Both,17,18,World Health Organization (WHO)
"World Health Organization, Switzerland",Switzerland,Scopus,17,12,World Health Organization - WHO
"CERN, Expt Phys Dept, CH-1211 Geneva 23, Switzerland",Switzerland,Both,16,10,CERN
"European Org Nucl Res CERN, Geneva, Switzerland",Switzerland,WoS,16,332,"CERN, Geneva, Switzerland"
"Novartis Inst BioMed Res, Basel, Switzerland",Switzerland,Both,16,42,"Novartis Inst BioMed Res, Basel, Switzerland!"
"Novartis Inst Biomed Res, Basel, Switzerland",Switzerland,Both,16,53,"Novartis Inst Biomed Res - NIBR, Basel, Switzerland!"
"Swiss Trop & Publ Hlth Inst, CH-4002 Basel, Switzerland",Switzerland,Both,16,29,Swiss Trop & Publ Hlth Inst!
"Univ Basel, Basel, Switzerland",Switzerland,WoS,16,27,University of Basel - BS
"Univ Bern, CH-3012 Bern, Switzerland",Switzerland,Both,16,19,University of Berne - BE
"University of Bern, Bern, Switzerland",Switzerland,Scopus,16,12,University of Berne - BE
"WHO, Geneva, Switzerland",Switzerland,Scopus,16,24,"World Health Organization - WHO, Geneva, Switzerland"
"Affiliated with An Institute Covered by A Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,15,108,---
"ETH, Inst Astron, CH-8093 Zurich, Switzerland",Switzerland,Both,15,8,ETH Zurich - ETHZ
