institution,country,datasource,nPapers,nAuth,standardized name
"Department of Intensive Care Medicine EOC, Ospedale Regionale Bellinzona e Valli, Bellinzona, Switzerland",Switzerland,Scopus,2,2,Ente Ospedaliero Cantonale - EOC
"Department of Intensive Care and Neonatology, Children's Research Center, University Children's Hospital Zurich, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,2,2,University of Zurich - ZH
"Department of International Cooperation, Research Institute of Organic Agriculture, FiBL, 11 Frick, Switzerland",Switzerland,Scopus,2,1,Research Institute of Organic Agriculture - FiBL
"Department of International Economics, The Graduate Institute of International and Development Studies, Geneva, Switzerland",Switzerland,Scopus,2,2,Graduate Institute of International and Development Studies - IHEID
"Department of International Relations and Political Science, Graduate Institute Geneva, Switzerland",Switzerland,Scopus,2,1,Graduate Institute of International and Development Studies - IHEID
"Department of Management, Technology, and Economics, ETH Zürich, Zürich, Switzerland",Switzerland,Scopus,2,3,ETH Zurich - ETHZ
"Department of Maternal Newborn Child and Adolescent Health, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,2,"World Health Organization - WHO, Geneva, Switzerland"
"Department of Maternal, Newborn, Child and Adolescent Health and Ageing, World Health Organization, Switzerland",Switzerland,Scopus,2,4,World Health Organization - WHO
"Department of Maternal, Newborn, Child and Adolescent Health, World Health Organisation, Geneva, Switzerland",Switzerland,Scopus,2,2,"World Health Organisation - WHO, Geneva, Switzerland"
"Department of Maternal, Newborn, Child and Adolescent Health, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,3,World Health Organization - WHO
"Department of Maternal, Newborn, Child, Adolescent Health and Ageing, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,2,World Health Organization - WHO
"Department of Maternal, Newborn, Child, and Adolescent Health and Aging, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,4,World Health Organization - WHO
"Department of Medical Oncology and Hematology, Kantonsspital St Gallen, St Gallen, Switzerland",Switzerland,Scopus,2,2,Cantonal hospital of St.Gallen - KSPSG
"Department of Medical Oncology, Inselspital, University Hospital and University of Bern, Bern, 3012, Switzerland",Switzerland,Scopus,2,3,University of Berne - BE
"Department of Mental Health and Substance Use, WHO, Geneva, Switzerland",Switzerland,Scopus,2,5,WHO
"Department of Non-Communicable Disease Epidemiology, London School of Hygiene and Tropical Medicine, London, United Kingdom, World Heart Federation, Geneva, Switzerland",Switzerland,Scopus,2,1,"London School of Hygiene and Tropical Medicine - LSHTM, World Heart Federation"
"Department of Noncommunicable Diseases, Rehabilitation and Disability, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,2,World Health Organization - WHO
"Department of Noncommunicable Diseases, World Health Organization (WHO), Geneva, Switzerland",Switzerland,Scopus,2,3,World Health Organization (WHO)
"Department of Nutrition, World Health Organization, 1211 Geneva 27, 20 Avenue Appia, Switzerland",Switzerland,Scopus,2,6,World Health Organization - WHO
"Department of Nutrition, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,53,World Health Organization - WHO
"Department of Ophthalmology, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland",Switzerland,Scopus,2,4,University of Bern - BE
"Department of Ophthalmology, University Hospital Zurich, Zurich, Switzerland",Switzerland,Scopus,2,4,University Hospital Zurich - ZH
"Department of Oral and Craniomaxillofacial Surgery, University Hospital Basel, Basel, Switzerland",Switzerland,Scopus,2,1,University Hospital Basel - BS
"Department of Pathology and Molecular Pathology, University Hospital Zurich, Zurich, CH-8091, Switzerland",Switzerland,Scopus,2,1,University Hospital Zurich - ZH
"Department of Pathology and Molecular Pathology, University and University Hospital Zürich, Zurich, Switzerland",Switzerland,Scopus,2,1,University of Zurich - ZH
"Department of Pathology, University Hospital Basel, Basel, Switzerland",Switzerland,Scopus,2,1,University Hospital Basel - BS
"Department of Physics and Astronomy, University of Basel, Basel, Switzerland",Switzerland,Scopus,2,1,University of Basel - BS
"Department of Physics, ETH Zurich, Wolfgang-Pauli-Strasse 16, Zurich, CH-8093, Switzerland",Switzerland,Scopus,2,3,ETH Zurich - ETHZ
"Department of Physics, Pusan National University, Pusan, South Korea, European Organization for Nuclear Research (CERN), Geneva, Switzerland",Switzerland,Scopus,2,1,European Organization for Nuclear Research (CERN)
"Department of Plant Molecular Biology, University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,2,2,University of Lausanne - LA
"Department of Psychiatry, Division of Psychiatric Specialities, Geneva University Hospitals, Geneva, Switzerland",Switzerland,Scopus,2,3,University of Geneva - GE
"Department of Quantitative Biomedicine, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,2,2,University of Zurich - ZH
"Department of Sexual and Reproductive Health and Research, WHO, Geneva, Switzerland",Switzerland,Scopus,2,7,"WHO, Geneva, Switzerland"
"Department of Sociology, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,2,1,University of Geneva - GE
"Department of Surgery and Transplantation, University Hospital Zurich, Zurich, Switzerland",Switzerland,Scopus,2,1,University Hospital Zurich - ZH
"Department of Urology, Kantonspital Frauenfeld, Spital Thurgau AG, Frauenfeld, Switzerland",Switzerland,Scopus,2,1,"Spital Thurgau AG, Frauenfeld!"
"Department of Urology, University Hospital Zurich, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,2,1,University of Zurich - ZH
"Department of Visceral Surgery, Lausanne University Hospital (CHUV), University of Lausanne (UNIL), Lausanne, Switzerland",Switzerland,Scopus,2,2,University of Lausanne - LA
"Department of Visceral Surgery, Lausanne University Hospital CHUV, Lausanne, Switzerland",Switzerland,Scopus,2,4,Lausanne University Hospital CHUV - LA
"Department of Visceral Surgery, Lausanne University Hospital CHUV, University of Lausanne (UNIL), Switzerland",Switzerland,Scopus,2,1,University of Lausanne - LA
"Dept Epidemiol & Publ Hlth, Basel, Switzerland",Switzerland,Both,2,2,University of Basel - BS
"Dept. of Public Health & Epidemiology, Swiss Tropical & Public Health Inst., University of Basel, Basel, Switzerland",Switzerland,Scopus,2,2,University of Basel - BS
"Division of Digestive Surgery, University Hospitals of Geneva, Geneva, Switzerland",Switzerland,Scopus,2,1,University Hospitals of Geneva - GE
"Division of Nephrology, University Hospital Zurich, Zurich, Switzerland",Switzerland,Scopus,2,2,University Hospital Zurich - ZH
"Division of Orthopaedics and Trauma Surgery, Department of Surgery, Geneva University Hospitals, Geneva, Switzerland",Switzerland,Scopus,2,1,University of Geneva - GE
"Division of Orthopaedics and Trauma Surgery, La Tour Hospital, Meyrin, Switzerland",Switzerland,Scopus,2,4,Ente Ospedaliero Cantonale - EOC
"Dr Reddys Labs SA, Basel, Switzerland",Switzerland,Both,2,1,Dr Reddys Labs SA!
"Dr Reddys Labs SA, Elisabethenanlage 11, CH-4051 Basel, Switzerland",Switzerland,Both,2,2,"Dr Reddys Labs SA, Basel (!)"
"Drugs Neglected Dis Initiat DNDi, CH-1202 Geneva, Switzerland",Switzerland,Both,2,2,Drugs Neglected Dis Initiat DNDi (Drugs for Neglected Diseases Initiative)!
"Drugs Neglected Dis Initiat, Global Antibiot Res & Dev Partnership, Geneva, Switzerland",Switzerland,Both,2,2,"Global Antibiot Res & Dev Partnership, Geneva, Switzerland"
"Drugs Neglected Dis initiat, Geneva, Switzerland",Switzerland,Both,2,3,"Drugs Neglected Dis initiat, Geneva, Switzerland"
"Drugs Neglected Dis initiat, Geneva, Switzerland",Switzerland,WoS,2,2,"Drugs Neglected Dis initiat, Geneva, Switzerland"
"Drugs for Neglected Diseases Initiative (DNDi), Geneva, Switzerland",Switzerland,Scopus,2,2,"Drugs for Neglected Diseases Initiative (DNDi), Geneva, Switzerland"
"Département de Physique Nucléaire et Corpusculaire, Université de Genève, Genève, Switzerland",Switzerland,Scopus,2,46,University of Geneva - GE
"Département de Physique Théorique and Center for Astroparticle Physics, Université de Genève, 24 quai Ansermet, Genève 4, CH-1211, Switzerland",Switzerland,Scopus,2,1,University of Geneva - GE
"Département de physique nucléaire et corpusculaire, Université de Genève, Genève, 1211, Switzerland",Switzerland,Scopus,2,2,University of Geneva - GE
"Département d’Astronomie, Université de Genève, Sauverny, Switzerland",Switzerland,Scopus,2,1,University of Geneva - GE
"ELZA Institute, Zurich, Switzerland",Switzerland,Scopus,2,1,"ELZA Institute, Zurich - ELZA!"
"EMPA Thun, CH-3602 Thun, Switzerland",Switzerland,Both,2,4,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"EOC, Oncol Inst Southern Switzerland, Bellinzona, Switzerland",Switzerland,Both,2,2,Ente Ospedaliero Cantonale - EOC
"EPFL ENAC ISTE LBE, Stn 6, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"EPFL Ecublens, Assoc EURATOM Confederat Suisse, CRPP, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"EPFL, Astrophys Lab, Inst Phys, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"EPFL, Astrophys Lab, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"EPFL, Lab Astrophys, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,6,EPF Lausanne - EPFL
"EPFL/ENAC-LPAS, CH-1015, Lausanne, Switzerland",Switzerland,Scopus,2,1,EPF Lausanne - EPFL
"ETH Zurich & Paul Scherrer Inst, Neutron Scattering Lab, CH-5232 Villigen, Switzerland",Switzerland,Both,2,1,Paul Scherrer Institute - PSI
"ETH Zurich Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,WoS,2,39,ETH Zurich - ETHZ
"ETH Zurich, Department of Biology, Zurich, Switzerland",Switzerland,Scopus,2,4,ETH Zurich - ETHZ
"ETH Zurich, Department of Biology, Zürich, 8093, Switzerland",Switzerland,Scopus,2,1,ETH Zurich - ETHZ
"ETH Zurich, Zurich, 8092, Switzerland",Switzerland,Scopus,2,11,ETH Zurich - ETHZ
"ETH Zurich, Zurich, CH-8093, Switzerland",Switzerland,Scopus,2,5,ETH Zurich - ETHZ
"ETH Zürich, Institute for Particle Physics and Astrophysics, Otto-Stern-Weg 5, Zürich, 8093, Switzerland",Switzerland,Scopus,2,4,ETH Zurich - ETHZ
"ETH, Automat Control Lab, ETL 128, CH-8092 Zurich, Switzerland",Switzerland,Both,2,4,ETH Zurich - ETHZ
"ETH, Dept Biosyst Sci & Engn, CH-4058 Basel, Switzerland",Switzerland,Both,2,2,ETH Zurich - ETHZ
"ETH, Dept Chem & Appl Biosci, Vladimir Prelog Weg 1-5, CH-8093 Zurich, Switzerland",Switzerland,Both,2,1,ETH Zurich - ETHZ
"ETH, Dept Earth Sci, Inst Geochem & Petrol, CH-8092 Zurich, Switzerland",Switzerland,Both,2,1,ETH Zurich - ETHZ
"ETH, Dept Environm Syst Sci, Zurich, Switzerland",Switzerland,Both,2,2,ETH Zurich - ETHZ
"ETH, Dept Hlth Sci & Technol, Lab Appl Mechanobiol, Zurich, Switzerland",Switzerland,Both,2,1,ETH Zurich - ETHZ
"ETH, Dept Management Technol & Econ, CH-8032 Zurich, Switzerland",Switzerland,Both,2,3,ETH Zurich - ETHZ
"ETH, Dept Mat, Lab Met Phys & Technol, CH-8093 Zurich, Switzerland",Switzerland,Both,2,4,ETH Zurich - ETHZ
"ETH, Dept Mat, Lab Surface Sci & Technol, Vladimir Prelog Weg 5, CH-8093 Zurich, Switzerland",Switzerland,Both,2,8,ETH Zurich - ETHZ
"ETH, Dept Pharmacovigilance & Pharmacoepidemiol, Zurich, Switzerland",Switzerland,Both,2,1,ETH Zurich - ETHZ
"ETH, Dept Phys, Inst Astron, Wolfgang Pauli Str 27, CH-8093 Zurich, Switzerland",Switzerland,Both,2,2,ETH Zurich - ETHZ
"ETH, Inst Astron, Dept Phys, Wolfgang Pauli Str 27, CH-8093 Zurich, Switzerland",Switzerland,Both,2,6,ETH Zurich - ETHZ
"ETH, Inst Biogeochem & Pollutant Dynam, Zurich, Switzerland",Switzerland,Both,2,3,ETH Zurich - ETHZ
"ETH, Inst Integrat Biol Forest Pathol & Dendrol, CH-8092 Zurich, Switzerland",Switzerland,Both,2,1,ETH Zurich - ETHZ
"ETH, Inst Microbiol, D BIOL, CH-8092 Zurich, Switzerland",Switzerland,Both,2,4,ETH Zurich - ETHZ
"ETH, Inst Terr Ecosyst, CH-8092 Zurich, Switzerland",Switzerland,Both,2,4,ETH Zurich - ETHZ
"ETH, Inst Terr Ecosyst, Dept Environm Sci, CH-8092 Zurich, Switzerland",Switzerland,Both,2,3,ETH Zurich - ETHZ
"ETH, NADEL, Zurich, Switzerland",Switzerland,Both,2,2,ETH Zurich - ETHZ
"ETH, Swiss Fed Inst Technol, Inst Integrat Biol, Zurich, Switzerland",Switzerland,Both,2,10,ETH Zurich - ETHZ
"ETH, Zurich, Switzerland",Switzerland,Scopus,2,2,ETH Zurich - ETHZ
"ETH, Zürich, Switzerland",Switzerland,Scopus,2,2,ETH Zurich - ETHZ
"ETH-Zurich, Switzerland",Switzerland,Scopus,2,7,ETH Zurich - ETHZ
"ETHZ, Neutron Scattering Lab, CH-5232 Villigen, Switzerland",Switzerland,Both,2,2,Paul Scherrer Institute - PSI
"EUROSPINE, Zurich, Switzerland",Switzerland,Both,2,1,EUROSPINE - ESPI!
"Eawag Swiss Fed Inst Aquat Sci & Technol, CH-6047 Kastanienbaum, Switzerland",Switzerland,Both,2,2,Swiss Federal Institute of Aquatic Science and Technology - EAWAG
"Eawag Swiss Fed Inst Aquat Sci & Technol, Uberlandstr 133, CH-8600 Dubendorf, Switzerland",Switzerland,Both,2,5,Swiss Federal Institute of Aquatic Science and Technology - EAWAG
"Eawag, Dubendorf, Switzerland",Switzerland,Both,2,2,Swiss Federal Institute of Aquatic Science and Technology - EAWAG
"Ecogenics GmbH, CH-8952 Zurich, Switzerland",Switzerland,Both,2,2,Companies/ Private Industry - FP
"Ecole Polytech Fed Lausanne EPFL, Astrophys Lab, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Inst Bioengn, Sch Life Sci, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Inst Chem Sci & Engn, Lab Computat Mol Design, CH-1015 Lausanne, Switzerland",Switzerland,WoS,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Inst Phys, Lab Astrophys, CH-1290 Sauverny, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Natl Ctr Computat Design & Discovery Novel Mat MA, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Observ Sauverny, Inst Phys, Lab Astrophys, CH-1290 Versoix, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Swiss Plasma Ctr SPC, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Swiss Plasma Ctr SPC, Lausanne, Switzerland",Switzerland,Both,2,9,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Theory & Simulat Mat THEOS, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Assoc EURATOM Confederat Suisse, CRPP, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Assoc Euratom Confederat Suisse, CRPP, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Astrophys Lab, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Bioenergy & Energy Planning Res Grp, Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Brain Mind Inst, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Brain Mind Inst, Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, CRPP, Assoc EURATOM Confederat Suisse, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, CRPP, Assoc Euratom Switzerland, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Ctr Rech Phys Plasmas, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, ENAC GR GN, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, ENAC ISTE, Lab Environm Biotechnol, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, ISIC, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,5,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Bioengn, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,9,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Chem Sci & Engn, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Chem Sci & Engn, Grp Mol Engn Funct Mat, Sion, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Mat, Stn 12, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Phys Mat Complexe, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Phys, Astrophys Lab, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Phys, Theoret Particle Phys Lab LPTP, Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Sci & Ingn Chim, Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Urban & Reg Sci, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Urban & Reg Sci, GC A3,Stn 18, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, LCTM, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,1,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, LPMN, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Chim Phys Mol, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,5,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Construct Mat, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Mat Construct, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Photomed, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Photon & Interfaces, CH-1005 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Lab Photon & Interfaces, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,8,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Microsyst Lab, CH-1015 Lausanne, Switzerland",Switzerland,WoS,2,4,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Sch Architecture Civil & Environm Engn, Human Oriented Built Environm Lab, Lausanne, Switzerland",Switzerland,Both,2,5,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Theory & Simulat Mat THEOS, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Tribol & Interface Chem Grp, CH-1015 Lausanne, Switzerland",Switzerland,Both,2,2,EPF Lausanne - EPFL
"Ecole Polytech Federale Lausanne, Lausanne, Switzerland",Switzerland,WoS,2,2,EPF Lausanne - EPFL
"Ecole Polytechnique Federale Lausanne, Lausanne, Switzerland",Switzerland,Scopus,2,3,EPF Lausanne - EPFL
"Ecole Polytechnique Federale de Lausanne, ENAC GR-GN, GC A3, Station 18, Lausanne, CH-1015, Switzerland",Switzerland,Scopus,2,1,EPF Lausanne - EPFL
"Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland",Switzerland,Scopus,2,6,EPF Lausanne - EPFL
"Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland",Switzerland,Scopus,2,4,EPF Lausanne - EPFL
"Ecole Polytechnique Fédérale de Lausanne, CH-1015 Lausanne, Switzerland",Switzerland,Scopus,2,3,EPF Lausanne - EPFL
"Ecole Polytechnique Fédérale de Lausanne, Switzerland",Switzerland,Scopus,2,5,EPF Lausanne - EPFL
"Edward Sanders Scientific Consulting, Rue du Clos 33, Peseux, 2034, Switzerland",Switzerland,Scopus,2,1,---
"Eidgenössische Technische Hochschule, ETH Zürich, CH-8093 Zürich, Switzerland",Switzerland,Scopus,2,30,ETH Zurich - ETHZ
"Empa Swiss Fed Labs Mat Sci & Technol, Ctr Xray Analyt, Uberlandstr 129, CH-8600 Dubendorf, Switzerland",Switzerland,Both,2,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa Swiss Fed Labs Mat Sci & Technol, Dubendorf, Switzerland",Switzerland,Both,2,3,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Adv Mat Proc Lab, CH-3602 Thun, Switzerland",Switzerland,Both,2,2,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Lab Adv Mat Proc, Swiss Fed Labs Mat Sci & Technol, Feuerwerkerstr 39, CH-3602 Thun, Switzerland",Switzerland,Both,2,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Lerchenfeldstr 5, CH-9014 St Gallen, Switzerland",Switzerland,Both,2,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Swiss Fed Labs Mat Sci & Technol, CH-8600 Dubendorf, Switzerland",Switzerland,Both,2,4,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Swiss Fed Labs Mat Sci & Technol, Lab Adv Mat Proc, Feuerwerkerstr 39, CH-3602 Thun, Switzerland",Switzerland,Both,2,6,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Swiss Fed Labs Mat Sci & Technol, Lab Mech Mat & Nanostruct, Feuerwerkerstr 39, CH-3602 Thun, Switzerland",Switzerland,Both,2,7,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Swiss Fed Labs Mat Testing & Res Hydrogen & Energ, CH-8600 Dubendorf, Switzerland",Switzerland,Both,2,12,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa, Swiss Federal Laboratories for Materials Science and Technology, Überlandstrasse 129, Dübendorf, 8600, Switzerland",Switzerland,Scopus,2,4,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Empa-Swiss Federal Laboratories for Materials Science and Technology, Dübendorf, Switzerland",Switzerland,Scopus,2,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Enzyvant, Basel, Switzerland",Switzerland,WoS,2,1,"Enzyvant, Basel, Switzerland!"
"Epfl, Switzerland",Switzerland,Scopus,2,3,EPF Lausanne - EPFL
"Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,2,2,University of Zurich - ZH
"Epirus Biopharmaceut Inc, Zug, Switzerland",Switzerland,WoS,2,2,Companies/ Private Industry - FP
"Essento Food AG, CH-8048 Zurich, Switzerland",Switzerland,Both,2,2,"Essento Food AG, CH-8048 Zurich, Switzerland!"
"Eth Zurich, Zurich, Switzerland",Switzerland,Scopus,2,7,ETH Zurich - ETHZ
"European Laboratory for Particle Physics, CERN, CH-1211 Geneva 23, Switzerland",Switzerland,Scopus,2,18,CERN
"European Organization for Nuclear Research (CERN), Geneva, CH-1211, Switzerland",Switzerland,Scopus,2,1,European Organization for Nuclear Research (CERN)
"European Organization for Nuclear Research, Geneva, Switzerland",Switzerland,Scopus,2,84,Other Research Institutes - FINST
"European Orgnaizat Nucl Res CERN, CH-1211 Geneva, Switzerland",Switzerland,Both,2,1,CERN
"Evolutionary Genetics Group, Department of Evolutionary Anthropology, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,2,2,University of Zurich - ZH
"Expanded Programme on Immunization (EPI), Department of Immunizations, Vaccines and Biologicals (IVB), World Health Organization, Geneva, Switzerland",Switzerland,Scopus,2,5,World Health Organization - WHO
"Experimental Biology Research Group, Faculty of Science, Institute of Biology, University of Neuchâtel, Neuchâtel, Switzerland",Switzerland,Scopus,2,2,University of Neuchatel - NE
"F Hoffmann La Roche & Cie AG, Basel, Switzerland",Switzerland,WoS,2,12,Companies/ Private Industry - FP
"F Hoffmann La Roche & Co Ltd, CH-4002 Basel, Switzerland",Switzerland,Both,2,4,Companies/ Private Industry - FP
"F Hoffmann La Roche Ltd, CH-4070 Basel, Switzerland",Switzerland,Both,2,5,Companies/ Private Industry - FP
"F Hoffmann-La Roche, Basel, Switzerland",Switzerland,Scopus,2,6,"F Hoffmann-La Roche, Basel, Switzerland"
"FAIRMED, Bern, Switzerland",Switzerland,Both,2,3,"FAIRMED, Bern, Switzerland!"
"FHNW University of Applied Sciences and Arts Northwestern Switzerland, Switzerland",Switzerland,Scopus,2,1,University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW
"FHNW, Inst 4D Technol, CH-5210 Windisch, Switzerland",Switzerland,Both,2,1,University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW
"FINA, Lausanne, Switzerland",Switzerland,Both,2,2,---
"FIND, Campus Biotech, Geneva, Switzerland",Switzerland,Both,2,3,"Campus Biotech, Geneva!"
"FIND, Campus Biotech,Chemin Mines 9, CH-1202 Geneva, Switzerland",Switzerland,Both,2,7,"Campus Biotech, Geneva!"
"FIND, Geneva, Switzerland",Switzerland,WoS,2,2,Other Research Institutes - FINST
"FIND, Global Alliance Diagnost, Geneva, Switzerland",Switzerland,Both,2,4,"FIND, Global Alliance Diagnost, Geneva, Switzerland
→ ---"
"Faculty of Business and Economics, University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,2,5,University of Lausanne - LA
"Faculty of Medicine, University of Basel, Basel, Switzerland",Switzerland,Scopus,2,2,University of Basel - BS
"Faculty of Science, University of Basel, Basel, 4001, Switzerland",Switzerland,Scopus,2,8,University of Basel - BS
"Foundation for Innovative New Diagnostics (FIND), Geneva, Switzerland",Switzerland,Scopus,2,3,"Foundation for Innovative New Diagnostics (FIND), Geneva, Switzerland"
"France, Switzerland",Switzerland,Scopus,2,1,---
"Friedrich Miescher Inst Biomed Res, CH-4058 Basel, Switzerland",Switzerland,Both,2,2,Institute Friedrich Miescher - FMI
"Friedrich Miescher Inst Biomed Res, Prot Anal Facil, Basel, Switzerland",Switzerland,Both,2,1,Institute Friedrich Miescher - FMI
"Funct Genom Ctr Zurich, Zurich, Switzerland",Switzerland,Both,2,4,---
